rank,job_title,category,match_score_pct,cosine_similarity,euclidean_distance,required_skills
1,Frontend Developer,Web Development,6.38,0.0638,1.3684,javascript; react; html; css; typescript; rest api; git; agile
2,Full Stack Developer,Web Development,5.5,0.055,1.3747,javascript; react; node.js; python; mongodb; html; css; git; docker; rest api
3,Backend Developer,Software Engineering,4.94,0.0494,1.3788,python; java; node.js; rest api; mongodb; postgresql; docker; microservices
4,Machine Learning Engineer,AI / ML,4.54,0.0454,1.3817,python; machine learning; tensorflow; pytorch; deep learning; docker; aws; numpy; pandas
5,Data Scientist,Data Science,4.1,0.041,1.3849,python; pandas; numpy; machine learning; tensorflow; statistics; sql; data visualization; scikit-learn; deep learning
6,Python Developer,Software Engineering,3.76,0.0376,1.3874,python; django; flask; rest api; mysql; git; agile; sql
7,Data Analyst,Data Science,2.4,0.024,1.3972,sql; excel; python; tableau; pandas; data visualization; statistics; communication
8,Mobile App Developer,Mobile Development,2.03,0.0203,1.3998,swift; kotlin; react; javascript; rest api; git
9,Database Administrator,Database,1.92,0.0192,1.4006,mysql; postgresql; oracle; sql; mongodb; redis; linux
10,AI Research Scientist,AI / ML,1.81,0.0181,1.4014,python; pytorch; tensorflow; deep learning; machine learning; natural language processing; computer vision; statistics
11,NLP Engineer,AI / ML,1.68,0.0168,1.4022,python; natural language processing; machine learning; deep learning; flask; tensorflow
12,DevOps Engineer,Cloud & DevOps,1.63,0.0163,1.4026,docker; kubernetes; aws; linux; ci/cd; terraform; jenkins; python; bash
13,Cloud Architect,Cloud & DevOps,1.63,0.0163,1.4026,aws; azure; gcp; kubernetes; docker; microservices; serverless; terraform
14,Project Manager (Tech),Management,1.56,0.0156,1.4031,project management; agile; scrum; jira; leadership; communication; teamwork; presentation
15,Cybersecurity Analyst,Security,0.69,0.0069,1.4093,linux; python; networking; sql; communication; problem solving
