category,skill,found_in_resume
Programming Languages,python,Yes
Programming Languages,java,Yes
Programming Languages,javascript,Yes
Programming Languages,r,Yes
Programming Languages,sql,Yes
Data Science & ML,machine learning,Yes
Data Science & ML,tensorflow,Yes
Data Science & ML,pandas,Yes
Data Science & ML,numpy,Yes
Data Science & ML,classification,Yes
Web Development,react,Yes
Web Development,node.js,Yes
Web Development,express,Yes
Web Development,html5,Yes
Web Development,css3,Yes
Cloud & DevOps,cloud computing,Yes
Databases,mysql,Yes
Databases,mongodb,Yes
Databases,sqlite,Yes
Tools & Platforms,git,Yes
Tools & Platforms,github,Yes
Soft Skills,agile,Yes
