analysis_id,timestamp,resume_strength,top_match,top_score,total_skills,session_path
analysis_20260430_110429_9d1c7dda,2026-04-30 11:04:29,50.9,Full Stack Developer,14.2,53,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_110429_9d1c7dda
analysis_20260430_110647_9d1c7dda,2026-04-30 11:06:47,50.9,Full Stack Developer,14.2,53,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_110647_9d1c7dda
analysis_20260430_111906_9d1c7dda,2026-04-30 11:19:07,50.9,Full Stack Developer,14.2,53,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_111906_9d1c7dda
analysis_20260430_113256_8702a97c,2026-04-30 11:32:56,34.1,Python Developer,4.7,12,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_113256_8702a97c
analysis_20260430_113442_8702a97c,2026-04-30 11:34:42,34.1,Python Developer,4.7,12,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_113442_8702a97c
analysis_20260430_113851_cb4cba58,2026-04-30 11:38:52,30.0,Python Developer,4.7,11,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_113851_cb4cba58
analysis_20260430_114431_8702a97c,2026-04-30 11:44:32,34.1,Python Developer,4.7,12,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_114431_8702a97c
analysis_20260430_115238_8702a97c,2026-04-30 11:52:38,34.1,Python Developer,4.7,12,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_115238_8702a97c
analysis_20260430_115732_59752b79,2026-04-30 11:57:32,43.7,Backend Developer,11.4,29,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260430_115732_59752b79
analysis_20260826_111320_013b48c0,2026-08-26 11:13:20,13.5,Mobile App Developer,0.9,6,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_111320_013b48c0
analysis_20260826_111534_9d1c7dda,2026-08-26 11:15:34,50.9,Full Stack Developer,14.2,53,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_111534_9d1c7dda
analysis_20260826_112158_47d5ac2c,2026-08-26 11:21:58,27.1,Mobile App Developer,1.0,10,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_112158_47d5ac2c
analysis_20260826_112251_013b48c0,2026-08-26 11:22:51,13.5,Mobile App Developer,0.9,6,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_112251_013b48c0
analysis_20260826_112609_9d1c7dda,2026-08-26 11:26:09,50.9,Full Stack Developer,14.2,50,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_112609_9d1c7dda
analysis_20260826_112749_9d1c7dda,2026-08-26 11:27:49,50.9,Full Stack Developer,14.2,50,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_112749_9d1c7dda
analysis_20260826_112844_b944440c,2026-08-26 11:28:44,48.6,Machine Learning Engineer,8.8,31,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_112844_b944440c
analysis_20260826_113628_731c3942,2026-08-26 11:36:28,48.5,Machine Learning Engineer,8.8,31,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_113628_731c3942
analysis_20260826_113904_65bb9b62,2026-08-26 11:39:04,48.3,Machine Learning Engineer,7.6,29,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_113904_65bb9b62
analysis_20260826_113945_65bb9b62,2026-08-26 11:39:45,48.3,Machine Learning Engineer,7.6,29,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_113945_65bb9b62
analysis_20260826_114142_3d3b4662,2026-08-26 11:41:42,47.7,Frontend Developer,6.4,22,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_114142_3d3b4662
analysis_20260826_114407_9d1c7dda,2026-08-26 11:44:07,86.6,Full Stack Developer,87.0,50,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_114407_9d1c7dda
analysis_20260826_114613_5575662a,2026-08-26 11:46:13,71.3,Python Developer,57.4,26,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_114613_5575662a
analysis_20260826_114833_731c3942,2026-08-26 11:48:33,76.3,Data Scientist,72.1,31,C:\Users\acer\Downloads\Resumeanalyzer\data\results\analysis_20260826_114833_731c3942
